name,full.name,place.of.birth,publisher
A-Bomb,Richard Milhouse Jones,"Scarsdale, Arizona",Marvel Comics
Agent Bob,Bob,-,Marvel Comics
Black Flash,,-,DC Comics
Black Goliath,,-,Marvel Comics
Black Knight III,Dane Whitman,"Gloucester, Massachusetts",Marvel Comics
Black Lightning,Jefferson Pierce,-,DC Comics
Black Mamba,Tanya Sealy,"Chicago, Illinois",Marvel Comics
Black Manta,David,-,DC Comics
Black Panther,T'Challa,"Wakanda, Africa",Marvel Comics
Black Widow,Natasha Romanoff,-,Marvel Comics
Black Widow II,Yelena Belova,-,Marvel Comics
Blackout,,-,Marvel Comics
Agent Zero,Christoph Nord,Unrevealed location in former East Germany,Marvel Comics
Blackwing,Joseph Manfredi,Professional Criminal,Marvel Comics
Blackwulf,Lucian,Armechadon,Marvel Comics
Blade,Eric Brooks,"Soho, London,England",Marvel Comics
Blaquesmith,-,-,Vertigo II
Bling!,Roxanne Washington,-,Marvel Comics
Blink,Clarice Ferguson,Bahamas,Marvel Comics
Blizzard,Gregor Shapanka,-,Marvel Comics
Blizzard,,-,Marvel Comics
Blizzard II,Donald Gill,"Newark, Delaware",Marvel Comics
Blob,Frederick J. Dukes,"Lubbock, Texas",Marvel Comics
Air-Walker,Gabriel Lan,"Xandar, a planet in the Tranta system, Andromeda galaxy",Marvel Comics
Bloodaxe,Jackie Lukus,-,Marvel Comics
Bloodhawk,Lemuel Krug,-,Marvel Comics
Bloodwraith,Sean Dolan,-,Marvel Comics
Blue Beetle,Daniel Garrett,-,DC Comics
Blue Beetle,,-,DC Comics
Blue Beetle II,Theodore Kord,"Chicago, Illinois",DC Comics
Blue Beetle III,Jaime Reyes,Presumed to be El Paso,DC Comics
Boba Fett,,Kamino,George Lucas
Bolt,,-,Marvel Comics
Bomb Queen,,-,Image Comics
Ajax,Francis,-,Marvel Comics
Boom-Boom,Tabitha Smith,-,Meltdown
Boomer,,-,Marvel Comics
Box,Roger Bochs,-,Marvel Comics
Box III,Dr. Walter Langowski,British Columbia,Marvel Comics
Box IV,Madison Jeffries,Place of birth unknown,Gemini V
Brainiac,Vril Dox,-,DC Comics
Brainiac 5,Querl Dox,-,DC Comics
Brother Voodoo,Jericho Drumm,"Port-au-Prince, Haiti",Marvel Comics
Brundlefly,Seth Brundle,-,
Alan Scott,Alan Ladd Wellington Scott,Gotham City,DC Comics
Buffy,Buffy Anne Summers,-,Dark Horse Comics
Bullseye,Lester,-,Marvel Comics
Bumblebee,Karen Beecher,-,DC Comics
Bumbleboy,,-,Marvel Comics
Bushido,Ryuko Orsono,-,DC Comics
Cable,Nathan Summers,Unrevealed location in the 20th Century United States,Marvel Comics
Callisto,Callisto,-,Marvel Comics
Cameron Hicks,,-,SyFy
Cannonball,Samuel Zachery Guthrie,"Cumberland County, Kentucky",Marvel Comics
Captain America,Steve Rogers,"Manhattan, New York City, New York",Marvel Comics
Alex Mercer,Alexander J. Mercer,-,Wildstorm
Captain Atom,Nathaniel Adam,-,DC Comics
Captain Britain,Brian Braddock,"Braddock Manor, England",Marvel Comics
Captain Cold,Leonard Snart,-,DC Comics
Captain Epic,,Canada,Team Epic TV
Captain Hindsight,Jack Brolin,-,South Park
Captain Mar-vell,Mar-Vell,The city of Rad-Nam on the planet Kree-Lar in the Kree Galaxy (Greater Magellanic Cloud),Marvel Comics
Captain Marvel,Billy Batson,"Fawcett City, United States",DC Comics
Captain Marvel,Carol Danvers,"Boston, Massachusetts",Binary
Captain Marvel II,Frederick Christopher Freeman,-,DC Comics
Captain Midnight,,-,Dark Horse Comics
Alex Woolsly,Alex Woolsly,-,NBC - Heroes
Captain Planet,,-,Marvel Comics
Captain Universe,,-,Marvel Comics
Carnage,Cletus Kasady,-,Marvel Comics
Cat,Shirlee Bryant,"Chicago, Illinois",Marvel Comics
Cat II,,-,Marvel Comics
Catwoman,Selina Kyle,Gotham City,DC Comics
Cecilia Reyes,Dr. Cecilia Reyes,Place of birth unknown,Marvel Comics
Century,,-,Marvel Comics
Cerebra,Shakti Haddad,-,Marvel Comics
Chamber,Jonothon Evan Starsmore,United Kingdom,Marvel Comics
